name,strategy,horizon,n_trades,n_days,trades_per_year,win_rate,exp_bps_5,exp_bps_10,profit_factor,t_stat,t_stat_day,ann_sharpe,avg_hold_days
Episodic Pivot,episodic_pivot,daily,876,403,221.0,0.4703,101.3,91.2,1.299,1.87,-0.06,0.94,2.71
Momentum Burst,momentum_burst,daily,23504,665,5888.1,0.4435,15.8,5.8,1.071,2.75,1.5,1.37,2.71
AVWAP Pullback,avwap_pullback,daily,19197,986,4809.1,0.4079,8.3,-1.7,1.043,1.69,1.69,0.84,2.5
Overnight Hold (c2c 3d),overnight_c2c_3,daily,112095,1002,28100.7,0.4646,7.3,-2.7,1.042,3.82,1.51,1.91,3.72
Overnight Hold (c2c 1d),overnight_c2c_1,daily,145861,1002,36565.4,0.4761,0.9,-9.1,1.008,0.9,-0.72,0.45,2.0
Overnight Hold (1-night),overnight_1n_open,daily,145861,1002,36565.4,0.4553,-1.2,-11.1,0.978,-1.86,-0.91,-0.93,2.0
Gap and Go,gap_and_go,intraday,450,156,459.1,0.4511,-1.9,,0.978,-0.18,0.33,-0.18,1.0
S/R Bounce,sr_bounce,daily,31961,1000,8006.7,0.475,-3.7,-13.7,0.974,-1.62,-0.86,-0.81,2.82
MACD 3-10-16,macd_31016,daily,15971,958,4001.0,0.4518,-4.3,-14.3,0.974,-0.99,1.29,-0.5,2.76
Fib Pullback,fib_pullback,daily,23294,989,5835.5,0.4879,-6.6,-16.5,0.959,-2.14,-0.47,-1.07,2.65
VWAP Bounce,vwap_bounce,intraday,58891,252,59093.2,0.3638,-8.9,,0.71,-38.03,-10.12,-38.1,1.0
TTM Squeeze,ttm_squeeze,daily,4411,830,1106.5,0.4666,-12.6,-22.5,0.941,-1.04,-0.76,-0.52,2.96
Bollinger Squeeze,bb_squeeze,daily,488,302,123.0,0.4549,-37.9,-47.9,0.812,-1.66,-0.52,-0.83,2.8
Inside Bar,inside_bar,daily,24055,973,6026.1,0.363,-44.9,-54.9,0.688,-21.77,-10.12,-10.9,2.13
Contrarian,contrarian,daily,4125,134,1062.5,0.4053,-55.8,-65.7,0.765,-5.44,0.32,-2.76,2.65
